round,cnt,moving_loss,avg_moving_loss,trained_size
1,100,521.2579582431223,5.212579582431223,40000
2,100,355.5542024459867,3.5555420244598666,40000
3,100,318.2882953201823,3.1828829532018235,40000
4,100,299.3064146287225,2.993064146287225,40000
5,100,284.81557381191186,2.8481557381191185,40000
6,100,265.3427492744032,2.653427492744032,40000
7,100,261.2010590945024,2.612010590945024,40000
8,100,246.9134396855854,2.469134396855854,40000
9,100,244.03951741868963,2.440395174186896,40000
10,100,227.41833252641254,2.2741833252641253,40000
11,100,221.6800758569535,2.216800758569535,40000
12,100,217.42907569253794,2.1742907569253793,40000
13,100,207.76829876470947,2.0776829876470946,40000
14,100,201.36124929790103,2.0136124929790102,40000
15,100,199.56471393977938,1.9956471393977937,40000
16,100,198.88776839888365,1.9888776839888365,40000
17,100,186.78263135622376,1.8678263135622375,40000
18,100,185.72800622405634,1.8572800622405634,40000
19,100,186.6680146592841,1.8666801465928409,40000
20,100,184.34831398417208,1.8434831398417209,40000
21,100,166.31081986771295,1.6631081986771294,40000
22,100,168.18872646939616,1.6818872646939615,40000
23,100,160.73407657795005,1.6073407657795005,40000
24,100,164.22312493221062,1.6422312493221063,40000
25,100,170.71270258115047,1.7071270258115048,40000
26,100,163.42035880181282,1.6342035880181283,40000
27,100,158.70222713264857,1.5870222713264857,40000
28,100,159.45467940616194,1.5945467940616194,40000
29,100,145.6433026164238,1.456433026164238,40000
30,100,159.52765991398573,1.5952765991398572,40000
31,100,145.71845015341003,1.4571845015341003,40000
32,100,151.5754773681379,1.515754773681379,40000
33,100,151.96946376880692,1.5196946376880691,40000
34,100,141.11100954494833,1.4111100954494833,40000
35,100,139.84625519264353,1.3984625519264353,40000
36,100,140.1656938573115,1.401656938573115,40000
37,100,137.73189690198342,1.3773189690198342,40000
38,100,137.2968960446542,1.372968960446542,40000
39,100,142.6403234649278,1.426403234649278,40000
40,100,137.08198946211186,1.3708198946211185,40000
41,100,131.55140529558145,1.3155140529558145,40000
42,100,135.44615790642584,1.3544615790642585,40000
