round,round_time,sched_delay,response_collection_time
1,1416.6599442958832,120.3180935382843,95.38755083084106
2,3407.437342643738,78.89050769805908,110.71980929374695
3,5049.913458824158,163.52187323570251,77.85810041427612
4,5297.540496826172,166.95925498008728,80.66908407211304
5,5963.448447704315,190.8274118900299,74.61897611618042
6,6235.008634328842,186.66683435440063,84.89305186271667
7,6901.460540056229,169.86176705360413,96.14096546173096
8,7120.828529834747,129.19178438186646,90.1664206981659
9,7766.919031620026,156.3450050354004,89.30822324752808
10,7999.896863937378,134.10356855392456,98.87102437019348
11,10694.846552610397,191.9415636062622,101.1308491230011
12,10860.28726029396,84.8373441696167,80.59622812271118
13,11676.66852092743,140.6233413219452,75.11530494689941
14,14474.990882635117,122.0600209236145,74.88551688194275
15,14722.888568401337,141.61773133277893,106.27345490455627
16,14881.095505714417,79.86358594894409,78.33714294433594
17,15064.202482938766,94.7262589931488,88.38347268104553
18,15257.737887382507,91.4998733997345,102.02449750900269
19,15440.905179262161,87.36381983757019,95.80070972442627
20,15581.97285246849,52.901084661483765,88.17219829559326
21,15789.856593132019,78.05083179473877,129.81712317466736
22,15955.789360284805,65.33272290229797,100.59918880462646
23,16113.258615732193,48.26569676399231,109.19988870620728
24,16272.702553510666,54.98818588256836,104.44933104515076
25,16449.78593158722,77.72270822525024,99.35635757446289
26,16618.82141661644,67.77799844741821,101.25947999954224
27,16783.356437444687,64.64709305763245,99.88063859939575
28,16994.392097711563,107.93197059631348,103.09963059425354
29,17285.232233047485,186.18540859222412,104.65161681175232
30,17503.784686803818,88.34239554405212,130.20352721214294
31,17671.84781384468,40.42422938346863,127.63535499572754
32,17846.14270234108,38.296027421951294,135.99438071250916
33,17949.492075920105,20.150502920150757,83.20088839530945
34,18122.374933719635,81.76328945159912,91.10791897773743
35,18267.664434671402,49.37789297103882,95.91345977783203
36,18418.086630821228,52.36835503578186,98.04273319244385
37,18561.93700361252,44.04169034957886,99.81575131416321
38,18716.642834186554,54.50350570678711,100.18761205673218
39,18870.769658088684,53.93112015724182,100.19178557395935
40,19014.639111042023,31.875840425491333,111.99213767051697
41,19192.077600717545,83.12200498580933,94.32678437232971
42,19364.834065675735,67.34012961387634,105.39719581604004
43,19533.986847639084,71.26750802993774,97.87885308265686
44,19693.62354540825,60.26305890083313,99.37493133544922
45,19853.074293851852,63.768232583999634,95.68326115608215
46,20057.906056165695,69.06489872932434,135.76038479804993
47,20236.41309571266,31.475629806518555,147.01516556739807
48,20392.665718317032,18.038503646850586,138.2282009124756
49,20508.99283862114,18.45453929901123,97.8589289188385
50,20652.941507577896,47.638436794281006,96.30141091346741
51,20816.56957268715,57.93606948852539,105.68800091743469
52,20975.127410888672,67.84883165359497,90.71245980262756
53,21137.928739786148,61.562087059020996,101.22639584541321
54,21306.284844875336,76.55362200737,91.80324625968933
55,21460.45672917366,58.632795095443726,95.53170847892761
56,21629.24019742012,71.83475232124329,96.94486355781555
57,21811.304816007614,47.77282476425171,134.28599452972412
58,21958.032061815262,42.645203590393066,104.07975840568542
59,22121.229419231415,37.206785917282104,125.99612259864807
60,22264.914455652237,42.593177318573,101.07898879051208
61,22423.663596868515,60.52848744392395,98.21808242797852
62,22618.828199386597,66.92945694923401,128.22570133209229
63,22774.293030023575,27.45190930366516,128.02063393592834
64,22881.066984415054,18.60989284515381,88.15022778511047
65,23034.02346754074,51.82497954368591,101.12951731681824
66,23178.641334056854,39.9062283039093,104.70898103713989
67,23344.36687731743,37.88912773132324,127.8276379108429
68,23495.555277585983,29.458959817886353,121.72656440734863
69,23625.853044748306,39.756582498550415,90.5401132106781
70,23776.476588249207,51.146270513534546,99.46790957450867
71,23953.92222762108,46.37653183937073,131.0727996826172
72,24108.810829639435,32.30801725387573,122.56969428062439
73,24222.85605096817,20.442031860351562,93.59987783432007
74,24362.73820924759,51.02470278739929,88.85120844841003
75,24542.826315164566,48.79272150993347,131.2955939769745
76,24690.143193483353,28.427854299545288,118.88238215446472
77,24828.544057130814,44.5858519077301,93.81448602676392
78,24989.083287477493,57.72729134559631,102.80649018287659
79,25144.434287309647,48.76824474334717,106.57566118240356
80,25260.244309186935,37.18930435180664,78.61865258216858
81,25388.799483060837,32.8626766204834,95.68601703643799
82,25554.534668684006,40.89108967781067,124.83893036842346
83,25694.982805252075,38.08016324043274,102.36557292938232
84,25809.349338054657,18.508957386016846,95.86039352416992
85,25975.12973856926,33.659603118896484,132.1075415611267
86,26119.583755731583,16.932862758636475,127.52691793441772
87,26247.51798605919,10.439790487289429,117.48292350769043
88,26379.841636419296,20.198757648468018,112.12448215484619
89,26493.15755867958,16.077820301055908,97.23223614692688
90,26620.30128479004,22.623351573944092,104.52012491226196
91,26837.16835784912,69.10691285133362,147.75156497955322
92,26950.46103286743,18.07834553718567,95.21170806884766
93,27120.39919567108,40.194387674331665,129.73986768722534
94,27283.62923169136,33.429638385772705,129.80122590065002
95,27461.39658665657,57.05274796485901,111.61233043670654
96,27600.55257511139,17.8813533782959,121.27926421165466
97,27732.51868700981,4.662785768508911,127.28988647460938
98,27865.30193424225,14.211717367172241,118.57018733024597
99,27988.228086948395,8.101372718811035,114.8182897567749
100,28107.42023062706,9.888389110565186,109.29855966567993
101,28212.181352376938,10.544450283050537,94.21944522857666
102,28330.642651319504,14.609005451202393,103.8422920703888
103,28467.472040891647,13.649426221847534,123.1774091720581
104,28571.91770339012,3.4719314575195312,100.99160671234131
105,28679.459343910217,10.022425889968872,97.49758100509644
106,28788.33446574211,13.389061689376831,95.48156476020813
107,28914.779143810272,11.644583702087402,114.7910385131836
108,29031.31869006157,7.671190023422241,108.86837267875671
109,29137.453547000885,8.259596586227417,97.8747947216034
110,29257.697914123535,13.250159740447998,106.99279117584229
111,29384.681619644165,17.96375584602356,109.01748132705688
112,29500.319269895554,10.817500591278076,104.80662989616394
113,29609.413915157318,8.088826417922974,101.00853610038757
114,29722.28733944893,6.296618700027466,106.56574273109436
115,29854.332980632782,10.62752366065979,121.4185209274292
116,29973.83427143097,9.085088968276978,110.41895055770874
117,30087.321996688843,10.245886087417603,103.23763132095337
118,30215.76174545288,4.206576347351074,124.22619152069092
119,30339.40579891205,14.071533679962158,109.56846284866333
120,30478.084147453308,15.432795524597168,123.24366617202759
121,30602.759296417236,15.396181583404541,109.27381825447083
122,30715.210099697113,8.567133665084839,103.87869071960449
123,30844.074862003326,3.087355613708496,125.77313590049744
124,30976.253113031387,14.987483024597168,117.19178867340088
125,31110.766453027725,11.137499570846558,123.36863780021667
126,31228.42140340805,8.908031702041626,108.74922323226929
127,31358.480367422104,13.49195408821106,116.55539417266846
128,31471.427400112152,5.421409606933594,107.52487134933472
129,31600.512060642242,7.328062534332275,121.74729466438293
130,31709.881316900253,5.560344457626343,103.81415033340454
