round,round_time,sched_delay,response_collection_time
1,163.14910411834717,8.528550624847412,154.6412651538849
2,328.56498312950134,14.666609287261963,150.7323625087738
3,493.1905424594879,14.917729139328003,149.69884872436523
4,667.9025702476501,17.63864278793335,157.07648420333862
5,840.4313342571259,14.354312181472778,158.1777584552765
6,1018.9543719291687,17.082524299621582,161.4380328655243
7,1167.928512096405,11.952210187911987,137.00845956802368
8,1327.189834356308,15.225950717926025,144.03408908843994
9,1496.889083147049,19.549805402755737,150.14567828178406
10,1659.9111156463623,13.726398468017578,149.28691577911377
11,1853.7644140720367,34.76400089263916,159.09094834327698
12,2014.7892379760742,11.694281816482544,149.3423388004303
13,2183.0936136245728,16.722667694091797,151.55555963516235
14,2578.3684544563293,232.01568174362183,163.25203728675842
15,2854.90993309021,105.81214714050293,170.73937797546387
16,3181.6241540908813,162.76192474365234,163.9336280822754
17,3446.8392283916473,107.07755184173584,158.1326723098755
18,3613.95382976532,13.121504545211792,153.99499654769897
19,4039.3568773269653,250.10375475883484,175.292414188385
20,4207.7932205200195,31.13298797607422,137.29657530784607
21,4364.382555484772,22.836447715759277,133.75410532951355
22,4536.428580522537,15.65163803100586,156.38295936584473
23,4735.616497993469,37.08948540687561,162.10142755508423
24,4993.635106086731,111.46678876876831,146.54607439041138
25,5516.30900144577,349.5680937767029,173.10991430282593
26,5680.231508731842,11.89719843864441,152.0128448009491
27,5841.387889623642,10.191558837890625,150.96111130714417
28,6366.391873598099,371.6587872505188,153.35122847557068
29,6555.817085981369,32.98818612098694,156.4232611656189
30,6715.426832199097,11.802748203277588,147.81075596809387
31,7295.731922149658,11.267006635665894,168.9464771747589
32,7466.173580646515,16.175976991653442,154.26161885261536
33,7633.745309114456,15.770815372467041,151.80616235733032
34,7992.581648111343,204.58324599266052,154.24705123901367
35,8248.866101503372,67.71150398254395,188.56947898864746
36,8413.10962343216,12.365322589874268,151.8811583518982
37,8586.065021753311,14.01189136505127,158.93435668945312
38,9123.68840932846,374.0687370300293,163.54207706451416
39,9289.146659374237,13.984548568725586,151.47089982032776
40,9452.90617275238,13.674343585968018,150.07700657844543
41,9729.663506269455,124.16219115257263,152.60001039505005
42,9949.205754518509,74.11530232429504,145.41520142555237
43,10170.670967817307,78.90345740318298,142.5657856464386
44,10414.360706090927,82.47470998764038,161.21821475028992
45,10546.701545476913,12.354033708572388,119.97027969360352
46,10793.325359344482,116.61684107780457,129.9996292591095
47,10969.145337581635,49.67250895500183,126.14351892471313
48,11138.51791191101,11.23715615272522,158.13366222381592
49,11583.369350910187,273.4967586994171,171.34710502624512
50,11751.044456005096,12.608586072921753,155.07249426841736
51,11907.129451990128,8.439986944198608,147.63856530189514
52,12411.493629455566,343.0677330493927,161.2866289615631
53,12554.180165290833,14.335042476654053,128.35001134872437
54,12691.619039297104,11.571427345275879,125.86835145950317
55,12885.18777680397,17.810248374938965,175.74754357337952
56,13170.4555413723,139.1360113620758,146.1232466697693
57,13454.55995106697,94.34287977218628,189.82077813148499
58,14039.799239873886,398.4609911441803,186.71196055412292
59,14206.085746765137,12.754504680633545,153.52934217453003
60,14356.362525701523,10.171082496643066,140.10011386871338
61,14551.079516887665,54.923452377319336,139.79007267951965
62,14790.098944187164,96.53651690483093,142.47926115989685
63,14983.027549266815,49.41956377029419,143.5054578781128
64,15198.771647930145,95.90614414215088,119.83432173728943
65,15467.203961849213,115.3261206150055,153.11057353019714
66,15722.207003831863,101.93491673469543,153.04889702796936
67,16037.14530801773,127.3658595085144,187.5721263885498
68,16194.172083377838,10.706665992736816,146.31546306610107
69,16418.023990631104,70.79129719734192,153.05850505828857
70,16689.879141569138,148.0347125530243,123.82157921791077
71,16952.59763789177,112.035560131073,150.67894649505615
72,17189.07600259781,89.71448850631714,146.76211953163147
73,17355.44375538826,22.085938453674316,144.270094871521
74,17480.719220638275,17.863755226135254,107.41094827651978
75,17688.608422279358,79.2422468662262,128.64211893081665
76,18050.20493030548,224.96422004699707,136.62643432617188
77,18187.871609687805,17.38747501373291,120.26589918136597
78,18319.251497268677,15.145034551620483,116.24367356300354
79,18482.51105260849,10.449053764343262,152.80263590812683
80,18640.545588970184,12.61701250076294,145.40989923477173
81,18840.4932847023,16.14937734603882,183.80946493148804
82,18995.276598215103,14.627293825149536,140.13071465492249
83,19174.287296533585,18.421345710754395,160.58449029922485
84,19357.846612215042,12.786219835281372,170.7793164253235
85,19527.269142866135,11.413253545761108,157.99950170516968
86,19705.53556895256,14.886438131332397,163.37361645698547
87,19876.186463356018,10.59375286102295,160.05086946487427
88,20043.389719247818,15.369807958602905,151.83088731765747
89,20228.924505472183,11.742608070373535,173.79364013671875
90,20378.204894542694,10.022836446762085,139.24656057357788
91,20500.202904224396,9.651376247406006,112.34321165084839
92,20704.838091373444,27.837289810180664,176.79053735733032
93,20882.099390029907,9.321614027023315,167.9434576034546
94,21039.0340218544,8.382533311843872,148.5473334789276
95,21204.74660038948,13.150214910507202,152.56020855903625
96,21369.817631721497,11.63991093635559,153.41903257369995
97,21542.808870077133,14.493490219116211,158.49250674247742
98,21718.515040397644,11.233938932418823,164.46642208099365
99,21885.17466688156,11.094135046005249,155.56022930145264
100,22044.980212926865,7.26592755317688,152.53717374801636
101,22207.81422472,8.034293174743652,154.80097889900208
102,22344.2750415802,8.342765092849731,128.1140420436859
103,22525.982698202133,15.050976276397705,166.65348172187805
104,22706.39080810547,11.018844366073608,169.37910962104797
105,22861.486803531647,5.421758651733398,149.67283058166504
106,22994.410204410553,8.301775932312012,124.61744499206543
107,23189.349927663803,19.77933382987976,175.15710282325745
108,23357.20624279976,9.521835565567017,158.33510541915894
109,23513.30286884308,8.905247211456299,147.1807301044464
