round,round_time,sched_delay,response_collection_time
1,184.41676926612854,27.82711172103882,156.5866527557373
2,360.28363037109375,23.471031188964844,152.3955044746399
3,492.93286657333374,30.538475275039673,102.11041688919067
4,601.0461387634277,5.387546539306641,102.72563409805298
5,749.703578710556,23.46982169151306,125.1872878074646
6,889.1785454750061,15.378593444824219,124.09588551521301
7,1005.4893457889557,14.709704160690308,101.60085225105286
8,1147.604431629181,10.170303583145142,131.94454336166382
9,1314.7928788661957,32.664085149765015,134.52406811714172
10,1416.8815190792084,15.437154293060303,86.65107607841492
11,1538.358662366867,10.618546485900879,110.85813975334167
12,1757.6237053871155,29.8190016746521,189.44582319259644
13,1935.9799118041992,23.643134593963623,154.71236157417297
14,2055.069097995758,11.765373229980469,107.32380509376526
15,2311.5486545562744,25.6332049369812,230.84586596488953
16,2481.621077299118,5.969338417053223,164.1029212474823
17,2591.9111845493317,16.746776819229126,93.54274678230286
18,2706.2506041526794,9.99481201171875,104.34427428245544
19,2857.5712502002716,12.501826286315918,138.81875681877136
20,3074.580752849579,52.94570875167847,164.06361508369446
21,3250.1296977996826,20.760704040527344,154.78782892227173
22,3435.2430860996246,18.23891830444336,166.87412095069885
23,3572.6187250614166,5.759742736816406,131.61536622047424
24,3713.4040546417236,12.038163185119629,128.74705123901367
25,3819.992379426956,20.91759753227234,85.67046904563904
26,3923.4999883174896,15.769675970077515,87.73762536048889
27,4038.030353307724,14.345302104949951,100.18489480018616
28,4166.21897649765,25.716604471206665,102.47159671783447
29,4323.4748747348785,11.396204710006714,145.85951972007751
30,4502.937316417694,29.34490656852722,150.1171374320984
31,4640.995512485504,12.272104740142822,125.78579449653625
32,4787.900228977203,14.17802095413208,132.72626209259033
33,4985.2751569747925,28.129238605499268,169.2450406551361
34,5167.504059791565,24.36478900909424,157.86375546455383
35,5314.793182611465,14.46881890296936,132.8198218345642
36,5445.025002479553,18.241111278533936,111.99060273170471
37,5577.694605588913,15.4742431640625,117.19483995437622
38,5718.532025814056,18.55802607536316,122.27918601036072
39,5836.8611533641815,5.305933713912964,113.02321314811707
40,5951.11679649353,15.82041335105896,98.4346432685852
41,6124.803864955902,14.556989192962646,159.13001203536987
42,6307.783789873123,24.69619345664978,158.2831428050995
43,6495.492163896561,32.03026628494263,155.6776885986328
44,6625.029651403427,9.512297630310059,120.02472639083862
45,6778.550252437592,25.250494480133057,128.26975965499878
46,6959.008430242538,14.785412549972534,165.67263507843018
47,7066.838310241699,8.859033823013306,98.97052145004272
48,7217.513729810715,17.68430256843567,132.99057912826538
49,7317.108590841293,15.320690631866455,84.27407240867615
50,7491.131939649582,17.69976496696472,156.3230059146881
51,7619.208909273148,12.871569871902466,115.20527243614197
52,7798.2031280994415,23.359763860702515,155.63416743278503
53,7974.201049089432,16.21636462211609,159.7812237739563
54,8165.088274240494,30.500381469726562,160.38636803627014
55,8283.772160053253,14.75995659828186,103.923663854599
56,8414.348407030106,24.35724377632141,106.21855115890503
57,8542.499163150787,8.713683843612671,119.43692278862
58,8709.971417427063,21.406845331192017,146.06494903564453
59,8870.365290641785,22.841866493225098,137.55190515518188
60,9029.6877887249,22.489203214645386,136.83282566070557
61,9199.297325849533,13.12161111831665,156.48751401901245
62,9368.663378477097,23.256091117858887,146.10978055000305
63,9531.720909118652,17.91965889930725,145.13755130767822
64,9657.993915081024,16.572632789611816,109.69993829727173
65,9823.677099466324,9.391059637069702,156.29183220863342
66,9985.522043466568,16.029403924942017,145.81527185440063
67,10102.515941619873,8.718838691711426,108.27455806732178
68,10201.198561191559,8.199641704559326,90.48261380195618
69,10341.870494127274,15.361810684204102,125.3097574710846
70,10507.834600925446,12.436984777450562,153.52676439285278
71,10639.33319735527,10.682398080825806,120.81563687324524
72,10814.668735027313,17.270591497421265,158.06465077400208
73,10949.730651855469,13.045179605484009,122.01662564277649
74,11102.807179927826,15.501033782958984,137.5752296447754
75,11244.767143964767,15.315003633499146,126.64467787742615
76,11420.890500068665,15.7562255859375,160.3668200969696
77,11551.94085431099,17.387590169906616,113.66211819648743
78,11694.962641954422,11.180078029632568,131.84154224395752
79,11887.805210351944,19.513365983963013,173.32899570465088
80,12064.160341501236,27.6193950176239,148.73532128334045
81,12242.280783891678,33.64855170249939,144.47155737876892
82,12406.780035495758,21.174792051315308,143.32414484024048
83,12584.389919757843,25.462557792663574,152.14685654640198
84,12757.380136013031,19.65373992919922,153.33615946769714
85,12894.624899625778,21.48946237564087,115.75481486320496
86,13082.039833545685,36.58643889427185,150.8283383846283
87,13258.791507482529,35.486140966415405,141.26498293876648
88,13396.409166097641,15.869805335998535,121.74773168563843
89,13535.791622400284,18.61849093437195,120.76361775398254
90,13718.451118469238,19.49388098716736,163.1650857925415
91,13830.13613319397,10.54361343383789,101.14131546020508
92,13926.056344270706,11.06554913520813,84.85400390625
93,14045.074008464813,19.843211889266968,99.17441296577454
94,14179.821913719177,13.423542737960815,121.32393765449524
95,14357.944070577621,21.823585510253906,156.29813146591187
96,14469.771166563034,15.184706211090088,96.6422975063324
97,14655.195777654648,27.449568271636963,157.97464442253113
98,14843.44824886322,20.382267951965332,167.86982774734497
99,15033.594234466553,23.05432677268982,167.09119248390198
100,15195.290078401566,31.28879427909851,130.40689158439636
101,15359.805641412735,7.620652914047241,156.89444088935852
102,15525.99748134613,35.332911014556885,130.85854482650757
103,15690.567788600922,14.586851119995117,149.98320293426514
104,15867.865262746811,13.866153001785278,163.43094277381897
105,16003.230793476105,14.361139297485352,121.00414896011353
106,16135.962822675705,12.942757844924927,119.78901314735413
107,16297.657361984253,15.671452760696411,146.02270889282227
108,16477.41627216339,24.439563274383545,155.31915020942688
109,16666.68819952011,27.10603165626526,162.16537499427795
110,16849.149740695953,36.3370943069458,146.12414002418518
111,16971.52663207054,13.887740135192871,108.48903965950012
112,17131.21027636528,12.167110204696655,147.51630520820618
113,17299.41429233551,13.279216289520264,154.9243562221527
114,17428.33378458023,19.084031581878662,109.83530473709106
115,17548.934208869934,15.82284164428711,104.77719068527222
116,17719.75274991989,13.570610761642456,157.24761128425598
117,17896.757761716843,22.664764165878296,154.33984923362732
118,18077.87869477272,21.26591992378235,159.85458970069885
119,18256.15873146057,32.847790002822876,145.43206644058228
120,18428.850227594376,21.672829627990723,151.0181987285614
121,18592.488966464996,9.709065198898315,153.92949986457825
122,18758.52828168869,23.737470388412476,142.3013355731964
123,18930.490864276886,30.49556064605713,141.46687388420105
124,19045.4984664917,8.61963415145874,106.38759398460388
125,19226.235781431198,13.680580615997314,167.05639958381653
126,19337.769905090332,10.86993956565857,100.66375064849854
127,19469.29810810089,12.884915828704834,118.64308190345764
128,19620.84890127182,10.320342063903809,141.2301528453827
129,19773.802649974823,15.890527725219727,137.06303787231445
130,19950.0046813488,15.290433883666992,160.91108322143555
131,20129.51540350914,24.94174361228943,154.56885981559753
132,20235.89586210251,14.233152151107788,92.14685082435608
133,20377.23880791664,13.731930255889893,127.6105535030365
134,20491.30049443245,12.495994091033936,101.5657160282135
135,20625.88628053665,6.997105836868286,127.58816742897034
136,20773.26712703705,18.047342777252197,129.33308243751526
137,20941.80804347992,9.573221683502197,158.96739435195923
138,21074.725737333298,12.563821077346802,120.35334777832031
139,21224.968532323837,16.749672174453735,133.49278092384338
140,21383.58172774315,16.402480602264404,142.2104172706604
141,21575.059490919113,18.592108011245728,172.88527822494507
142,21763.10570883751,22.684985160827637,165.36066055297852
143,21887.802768945694,14.830246210098267,109.86657857894897
144,22027.177496910095,7.455029010772705,131.9196960926056
145,22175.254999637604,18.195688247680664,129.8813796043396
146,22352.771590948105,23.525537967681885,153.99078941345215
147,22492.856711626053,11.208649635314941,128.8759503364563
148,22649.297201156616,33.68129754066467,122.75898098945618
149,22815.946228265762,6.118988513946533,160.52949357032776
150,22994.783331155777,16.577857732772827,162.25892901420593
-1,-1,18.027541722682926,134.25544393931003
