round,cnt,moving_loss,avg_moving_loss,trained_size
1,200,786.2821778874676,3.931410889437338,80000
2,200,607.2492599774117,3.0362462998870585,80000
3,200,577.669082301296,2.88834541150648,80000
4,200,538.6876811403032,2.693438405701516,80000
5,200,489.7633127944208,2.448816563972104,80000
6,200,457.42351503134137,2.287117575156707,80000
7,200,429.53123033285914,2.147656151664296,80000
8,200,406.53523447228673,2.0326761723614335,80000
9,201,400.41227527381335,1.9921008720090216,80400
10,200,382.21812288543833,1.9110906144271917,80000
11,200,364.5937249928488,1.822968624964244,80000
12,200,345.9811588903793,1.7299057944518963,80000
13,200,332.21372107950583,1.6610686053975292,80000
14,200,341.8253546846078,1.709126773423039,80000
15,200,336.44941712925873,1.6822470856462937,80000
16,200,343.0985003427801,1.7154925017139004,80000
17,200,323.83751661112996,1.6191875830556497,80000
18,200,326.71630738700946,1.6335815369350473,80000
19,200,310.2489049128576,1.551244524564288,80000
20,200,310.7581826890751,1.5537909134453756,80000
21,200,301.0274262099517,1.5051371310497585,80000
22,200,294.85635065360214,1.4742817532680106,80000
23,200,293.54677516582035,1.4677338758291016,80000
24,200,294.7882925225994,1.4739414626129972,80000
25,200,289.075671214446,1.44537835607223,80000
26,200,284.74191390732136,1.4237095695366069,80000
27,200,280.7287669067672,1.403643834533836,80000
28,200,275.924830907243,1.3796241545362151,80000
29,200,271.6228144284566,1.3581140721422829,80000
30,200,269.6838338571225,1.3484191692856127,80000
31,200,267.53140792656853,1.3376570396328427,80000
32,200,255.73211939095037,1.2786605969547518,80000
33,200,256.75339429181076,1.2837669714590538,80000
34,200,261.49320809825923,1.307466040491296,80000
35,200,249.78523711630643,1.2489261855815321,80000
36,200,236.73984974044748,1.1836992487022373,80000
37,200,250.26429123761943,1.2513214561880972,80000
38,200,240.25822022256176,1.201291101112809,80000
39,200,240.67322946756792,1.2033661473378396,80000
40,200,232.23981394799333,1.1611990697399666,80000
41,200,235.76279201469507,1.1788139600734753,80000
42,200,242.9281237609151,1.2146406188045755,80000
43,200,235.87452735524045,1.1793726367762023,80000
44,200,227.31549656441783,1.1365774828220891,80000
45,200,224.93781657275986,1.1246890828637992,80000
46,200,232.50244830431788,1.1625122415215894,80000
47,200,234.55637109727573,1.1727818554863787,80000
48,200,219.05802481295095,1.0952901240647548,80000
49,200,216.17094927751398,1.08085474638757,80000
50,200,225.9849513423819,1.1299247567119095,80000
51,200,218.49906693228522,1.0924953346614261,80000
52,200,232.51957124671705,1.1625978562335852,80000
53,200,222.91443041162916,1.1145721520581457,80000
54,200,230.31984426977894,1.1515992213488948,80000
55,200,217.19865362691144,1.0859932681345572,80000
56,200,208.9763817135384,1.044881908567692,80000
57,200,224.91755499691374,1.1245877749845687,80000
58,200,213.7620295702334,1.0688101478511671,80000
59,200,229.69112454709136,1.1484556227354568,80000
60,200,214.70051660395123,1.0735025830197562,80000
61,200,223.9402977313133,1.1197014886565666,80000
62,200,193.33467522260383,0.9666733761130192,80000
63,200,203.48349611169894,1.0174174805584948,80000
64,200,218.58815864755852,1.0929407932377926,80000
65,200,209.0089662391431,1.0450448311957155,80000
66,200,206.40264816683458,1.032013240834173,80000
67,201,211.4315477047099,1.051898247287114,80400
68,200,210.33436109450966,1.0516718054725482,80000
69,200,205.0051764249208,1.0250258821246039,80000
70,200,199.2890167557818,0.9964450837789091,80000
71,200,207.97543457395406,1.0398771728697702,80000
72,200,203.70277803883192,1.0185138901941597,80000
73,200,207.90186762379224,1.0395093381189613,80000
74,200,202.83059455953733,1.0141529727976866,80000
75,200,208.1855109376171,1.0409275546880854,80000
76,200,210.2330765571682,1.051165382785841,80000
77,200,202.50043017079335,1.0125021508539667,80000
78,200,199.68135365646842,0.9984067682823421,80000
79,200,212.36364558679713,1.0618182279339856,80000
80,200,192.49568803095357,0.9624784401547679,80000
81,200,198.77951483819749,0.9938975741909875,80000
82,200,185.5674664342425,0.9278373321712126,80000
83,200,195.0168979292771,0.9750844896463855,80000
84,200,195.00871993806678,0.9750435996903338,80000
85,200,191.27318960968725,0.9563659480484362,80000
86,200,194.28870896088975,0.9714435448044487,80000
87,200,193.6977017239885,0.9684885086199425,80000
88,200,195.59116273596334,0.9779558136798167,80000
89,200,201.11959896781332,1.0055979948390665,80000
90,200,199.4273651036637,0.9971368255183185,80000
91,200,204.69167057041696,1.0234583528520849,80000
92,200,200.13343983567387,1.0006671991783693,80000
93,200,191.1862233898943,0.9559311169494715,80000
94,200,204.83330781755396,1.02416653908777,80000
95,200,208.81377603769775,1.0440688801884888,80000
96,200,198.12528578347045,0.9906264289173522,80000
97,200,192.1666271045179,0.9608331355225894,80000
98,200,189.5315108273011,0.9476575541365055,80000
99,200,193.27865069265405,0.9663932534632703,80000
100,200,184.5943475967535,0.9229717379837674,80000
101,200,188.67931334766698,0.9433965667383348,80000
102,200,185.33504350945304,0.9266752175472652,80000
103,200,187.1459616621284,0.935729808310642,80000
104,200,190.40952060908438,0.9520476030454219,80000
105,200,181.1016342470699,0.9055081712353495,80000
106,200,191.71627505540778,0.9585813752770389,80000
107,200,189.73792697630813,0.9486896348815407,80000
108,200,185.0296055155149,0.9251480275775745,80000
109,200,180.17523601577886,0.9008761800788944,80000
110,200,170.40876178039787,0.8520438089019894,80000
111,200,174.86702911735279,0.874335145586764,80000
112,200,182.1942604244495,0.9109713021222475,80000
113,200,185.37251409202815,0.9268625704601408,80000
114,200,183.78752467637835,0.9189376233818918,80000
115,200,191.35851072692486,0.9567925536346243,80000
116,200,183.33306966678356,0.9166653483339178,80000
117,200,183.65693364805358,0.9182846682402679,80000
118,200,182.47465153890633,0.9123732576945316,80000
119,200,174.04574873393835,0.8702287436696917,80000
120,200,172.95804920600852,0.8647902460300426,80000
121,200,177.4041831187261,0.8870209155936305,80000
122,200,169.21414643895935,0.8460707321947968,80000
123,200,176.74980556804175,0.8837490278402087,80000
124,200,175.13245733117776,0.8756622866558889,80000
125,200,169.59871808606536,0.8479935904303268,80000
126,200,176.17861979085234,0.8808930989542617,80000
127,200,167.54508491692238,0.8377254245846119,80000
128,200,176.39522912942056,0.8819761456471028,80000
129,200,173.8970421435421,0.8694852107177106,80000
130,200,170.4030473783047,0.8520152368915235,80000
131,200,167.69471796860455,0.8384735898430228,80000
132,200,168.21047816135302,0.8410523908067651,80000
133,200,162.15931477373582,0.8107965738686791,80000
134,200,156.39765379851931,0.7819882689925965,80000
135,200,172.69786193239702,0.8634893096619851,80000
136,200,165.8875731421328,0.829437865710664,80000
137,200,168.30207929647253,0.8415103964823626,80000
138,200,163.55285476744726,0.8177642738372363,80000
139,200,160.47616432977944,0.8023808216488972,80000
140,200,164.2876249823726,0.821438124911863,80000
141,200,167.95880027518484,0.8397940013759242,80000
142,200,161.54980448037267,0.8077490224018633,80000
143,200,181.326246839959,0.906631234199795,80000
144,200,172.60488860634808,0.8630244430317404,80000
145,200,167.09869255432565,0.8354934627716283,80000
146,200,173.60679609090903,0.8680339804545452,80000
147,200,178.73893454569702,0.8936946727284851,80000
148,200,170.21026383993987,0.8510513191996993,80000
149,200,175.5850412452359,0.8779252062261795,80000
150,200,163.95283685337503,0.8197641842668751,80000
