round,round_time,sched_delay,response_collection_time
1,224.4603853225708,95.01561641693115,129.44193935394287
2,486.6048445701599,62.77264451980591,199.37152004241943
3,774.8244338035583,55.911287784576416,232.30783438682556
4,1050.35786318779,66.61895227432251,208.9140923023224
5,1300.5308182239532,48.29147815704346,201.88116002082825
6,1540.9474918842316,41.12689661979675,199.28939580917358
7,1799.740134716034,61.02314043045044,197.76916694641113
8,2037.2655172348022,47.794798851013184,189.73036336898804
9,2302.545145511627,61.41146206855774,203.86757254600525
10,2699.295500278473,185.30416774749756,211.44581007957458
11,3015.5206310749054,113.24341750144958,202.98135137557983
12,3214.3037559986115,39.309725761413574,159.47312235832214
13,3522.4421231746674,168.01056218147278,140.12737941741943
14,3800.4859986305237,153.37264680862427,124.67084813117981
15,4265.450103521347,118.93144369125366,145.95499634742737
16,4509.238973379135,71.33897423744202,172.44953155517578
17,4790.226013183594,81.22557091712952,199.76118779182434
18,5143.050825834274,197.05883145332336,155.76552844047546
19,5367.436712265015,61.89281916618347,162.4927854537964
20,5830.77787899971,105.0940854549408,158.16927695274353
21,6030.173815011978,42.70858025550842,156.6871361732483
22,6268.737404823303,59.60442280769348,178.9587013721466
23,6801.9551367759705,173.56314826011658,159.58246994018555
24,7042.419360637665,78.89781975746155,161.5660479068756
25,7443.018789768219,69.0149974822998,131.51675391197205
26,7654.60266494751,82.99366307258606,128.58990812301636
27,7906.69423699379,79.2460584640503,172.84513592720032
28,8209.557561635971,181.15338134765625,121.7095148563385
29,8534.979268312454,97.79243516921997,227.62888383865356
30,8848.163758993149,88.36092782020569,224.82315802574158
31,9164.395219802856,142.92220330238342,173.3090944290161
32,9512.43485569954,110.25765180587769,237.78151273727417
33,9867.78691649437,197.56099033355713,157.79070925712585
34,10090.782867193222,62.27046847343445,160.7251274585724
35,10458.968089342117,136.7546203136444,231.43025708198547
36,10850.289820432663,27.948492765426636,163.3028576374054
37,11076.48848247528,45.4215567111969,180.7766568660736
38,11698.246985435486,59.30380153656006,161.99285531044006
39,12275.778843641281,55.6127450466156,121.80183219909668
40,12675.992621183395,28.815492868423462,171.32463097572327
41,13308.953641176224,72.26101398468018,160.38243699073792
42,13951.619566440582,66.20909357070923,176.32153987884521
43,14248.161918640137,121.52811813354492,175.01380920410156
44,14576.302155017853,149.04426097869873,179.09543466567993
45,14883.413917064667,148.22401213645935,158.8872892856598
46,15159.66340970993,120.73636293411255,155.5126633644104
47,15527.40883398056,195.9004282951355,171.8446798324585
48,15752.269119501114,49.32965326309204,175.53028535842896
49,16405.856600761414,56.38979244232178,196.82448506355286
50,16621.891056776047,74.06709551811218,141.96704149246216
51,16829.348308324814,41.474350690841675,165.98252391815186
52,17140.317423820496,145.75851559638977,165.2100863456726
53,17450.593930721283,133.6508846282959,176.62521243095398
54,17916.134968042374,105.76850652694702,159.58419513702393
55,18257.95429944992,164.6899130344391,177.12899494171143
56,18727.58190178871,148.21001887321472,121.33345341682434
57,18966.31000328064,100.25132203102112,138.47642397880554
58,19234.874616622925,70.8547990322113,197.70944666862488
59,19745.08439397812,137.6049063205719,172.4051284790039
60,19977.493555784225,89.28650522232056,143.12232327461243
61,20514.78184747696,151.86676168441772,185.22085976600647
62,20768.321853876114,77.25017166137695,176.28927898406982
63,21138.90170931816,189.30157828330994,181.27787947654724
64,21308.81661629677,5.916863679885864,163.9977421760559
65,21503.436893463135,28.39165449142456,166.228355884552
66,22056.62770986557,162.85849928855896,190.26336550712585
67,22232.14559698105,3.1641104221343994,172.35347485542297
68,22404.560547351837,3.6423089504241943,168.77224373817444
69,22681.68646645546,74.20371651649475,202.92189288139343
70,22843.678732395172,5.228296995162964,156.7634117603302
71,23032.059240102768,29.54440712928772,158.83577299118042
72,23206.55907726288,10.876901865005493,163.62256479263306
73,23416.80470108986,43.93056106567383,166.3147394657135
74,23609.30513691902,24.735229969024658,167.76493191719055
75,23795.03456568718,4.413393974304199,181.3155541419983
76,23923.28430747986,19.54863739013672,108.70094919204712
77,24142.00070643425,84.94731330871582,133.76851558685303
78,24285.65509200096,18.669694662094116,124.9841787815094
79,24422.2610142231,3.2124745845794678,133.3931007385254
80,24593.669748544693,41.340811014175415,130.06758642196655
81,24719.838857889175,4.649141550064087,121.51957440376282
82,24855.22306537628,5.6727705001831055,129.71118307113647
83,25041.412111759186,13.31099009513855,172.87762713432312
84,25278.63314294815,22.54208493232727,214.67840552330017
85,25465.962047338486,4.291810512542725,183.03668403625488
86,25581.743323087692,6.343801975250244,109.43716979026794
87,25718.138389348984,6.063953161239624,130.3307147026062
88,25848.38145661354,3.5916388034820557,126.6510922908783
89,26007.11114859581,14.924147844314575,143.80518436431885
90,26172.448951005936,6.253164052963257,159.0842742919922
91,26309.167139053345,7.393167972564697,129.32462525367737
92,26500.655666828156,18.631979942321777,172.85627603530884
