round,round_time,sched_delay,response_collection_time
1,202.9440472126007,28.20165753364563,174.73935842514038
2,406.5937542915344,34.01111555099487,169.63803148269653
3,587.2119119167328,21.994016647338867,158.62377834320068
4,1057.960083246231,64.03662014007568,162.96791625022888
5,2796.198611497879,119.2282497882843,165.1773476600647
6,3181.6366868019104,86.4206006526947,178.954030752182
7,3426.6768114566803,81.45112252235413,163.58870673179626
8,3691.450206041336,104.08461785316467,160.68828105926514
9,3938.455887079239,84.41764640808105,162.58740377426147
10,4197.415996313095,85.6714596748352,173.28811025619507
11,4603.4544796943665,116.3817708492279,169.58110928535461
12,4862.97554898262,93.49625086784363,166.02404236793518
13,5124.197067975998,100.53954434394836,160.68175292015076
14,5390.705303192139,107.56001687049866,158.9477140903473
15,5676.024360179901,109.89338636398315,175.42542600631714
16,5942.600992441177,101.96929407119751,164.60694479942322
17,6223.129542589188,115.02315616607666,165.50502133369446
18,6515.424220561981,116.85180759429932,175.44239044189453
19,6807.376009941101,116.2360725402832,175.71537566184998
20,7330.803103923798,118.65723967552185,164.6192193031311
21,7613.724345445633,113.50764656066895,169.4131257534027
22,7867.905202388763,84.90295243263245,169.277512550354
23,8157.365265369415,119.95141911506653,169.50785994529724
24,8448.82001209259,116.89917469024658,174.55553126335144
25,8695.874785423279,78.33487486839294,168.71948862075806
26,8944.221983671188,73.0043306350708,175.34268379211426
27,9180.254428625107,64.92861342430115,171.10355758666992
28,9424.853698253632,67.23767566680908,177.36098670959473
29,9771.637449502945,60.929502725601196,165.784761428833
30,10018.340022325516,79.10965490341187,167.592435836792
31,10254.617778539658,69.31635046005249,166.96091437339783
32,10495.269606113434,71.40641570091248,169.24510216712952
33,10984.309366464615,63.334919929504395,175.1785969734192
34,11217.765106916428,62.79999232292175,170.65553426742554
35,11455.026933431625,68.84244561195374,168.41881585121155
36,11695.20391702652,72.59342908859253,167.583025932312
37,11941.661582708359,71.53306818008423,174.9241361618042
38,12182.161263942719,66.1030626296997,174.396381855011
39,12419.20468211174,66.95652437210083,170.08661198616028
40,12655.638140201569,71.70784306526184,164.72540616989136
41,12899.486248254776,71.01458215713501,172.83307242393494
42,13141.939074754715,70.80129146575928,171.65090990066528
43,13402.124444246292,90.71738004684448,169.4678249359131
44,14127.539064645767,54.97880029678345,166.7446689605713
45,14700.470521688461,59.28304195404053,171.74733567237854
46,14943.308842420578,69.58402419090271,173.25365209579468
47,15186.146187543869,66.65301775932312,176.18398904800415
48,15412.641292333603,62.05020332336426,164.4448049068451
49,15648.523341178894,71.68726229667664,164.19408559799194
50,16147.320927143097,63.23585915565491,176.65330052375793
51,16379.600815057755,61.76415038108826,170.51550364494324
52,16859.428443431854,62.54119277000427,169.72666668891907
53,17093.28928542137,70.05236148834229,163.80845618247986
54,17332.369369983673,77.20186686515808,161.8775553703308
55,17568.65514063835,75.9732391834259,160.31201648712158
56,17829.358585596085,82.75784969329834,177.94518542289734
57,18064.390212535858,60.251115560531616,174.7800736427307
58,18290.316968679428,66.08033967018127,159.8460910320282
59,18534.32881450653,78.77927112579346,165.23192310333252
60,18784.97168469429,73.76532483100891,176.87742161750793
61,19028.55577969551,67.63240456581116,175.95096015930176
62,19265.994928836823,63.6569938659668,173.78175616264343
63,19506.115644693375,63.40422177314758,176.7163109779358
64,19742.017829418182,64.42142701148987,171.48029565811157
65,19979.7752931118,64.46117877960205,173.2958836555481
66,20227.66247034073,71.04500913619995,176.8420958518982
67,20463.79103422165,62.656753063201904,173.47129154205322
68,20707.407098293304,67.31401205062866,176.30157995224
69,21187.042679786682,58.466038942337036,177.16237378120422
70,21427.79642701149,63.22247886657715,177.53104448318481
71,21660.44138431549,59.60819220542908,173.03629446029663
72,21911.119710445404,71.71460151672363,178.96328902244568
73,22142.75693321228,61.361016511917114,170.27565836906433
74,22392.662759542465,70.84715509414673,179.0582935810089
75,22622.46100115776,59.550637006759644,170.24710035324097
76,22859.61987876892,70.72992396354675,166.42869544029236
77,23106.903887987137,71.68493843078613,175.5985622406006
78,23346.24557161331,63.38015556335449,175.9608871936798
79,23588.91048359871,68.31913161277771,174.3455114364624
80,23819.537996292114,60.112611293792725,170.51479268074036
-1,-1,78.67737750524886,169.92225153649107
