round,cnt,moving_loss,avg_moving_loss,trained_size
1,200,817.7087223469674,4.0885436117348375,80000
2,200,606.5684987980662,3.0328424939903313,80000
3,201,551.8344711888611,2.7454451302928415,80400
4,200,507.5873974848416,2.537936987424208,80000
5,200,455.983593502611,2.2799179675130548,80000
6,200,421.1776437837687,2.1058882189188437,80000
7,200,386.02891814083006,1.9301445907041503,80000
8,200,372.5389319843413,1.8626946599217065,80000
9,200,351.5181336961069,1.7575906684805345,80000
10,200,333.28232313459773,1.6664116156729887,80000
11,200,324.92461756318215,1.6246230878159107,80000
12,200,311.16887877268096,1.5558443938634048,80000
13,200,303.126764884578,1.51563382442289,80000
14,200,287.52784616406467,1.4376392308203234,80000
15,200,265.3803924024714,1.326901962012357,80000
16,200,281.0835628759866,1.4054178143799332,80000
17,200,268.7710954548445,1.3438554772742224,80000
18,200,260.593993571507,1.3029699678575348,80000
19,200,265.03097178399935,1.3251548589199968,80000
20,200,252.3595384853054,1.261797692426527,80000
21,200,246.49811599077245,1.2324905799538621,80000
22,200,235.84366640370297,1.1792183320185148,80000
23,200,240.94245097429987,1.2047122548714995,80000
24,200,231.33651408047245,1.1566825704023622,80000
25,200,234.15855268704976,1.1707927634352489,80000
26,200,232.33951243772395,1.1616975621886199,80000
27,200,226.67910430941146,1.1333955215470572,80000
28,200,212.90187459334157,1.064509372966708,80000
29,200,212.86600066213256,1.0643300033106629,80000
30,200,213.25117751507975,1.0662558875753987,80000
31,200,215.17406673807133,1.0758703336903566,80000
32,200,201.95105877094048,1.0097552938547023,80000
33,200,196.6113291624212,0.9830566458121061,80000
34,200,203.96473018792267,1.0198236509396132,80000
35,200,211.77326198387559,1.058866309919378,80000
36,200,202.30108545016947,1.0115054272508472,80000
37,200,193.00569551471716,0.9650284775735858,80000
38,200,191.9968988465444,0.959984494232722,80000
39,200,197.42948983311683,0.9871474491655842,80000
40,200,194.27864787032362,0.9713932393516181,80000
41,200,186.2366432462932,0.9311832162314659,80000
42,200,198.1468663723109,0.9907343318615546,80000
43,200,183.55863730552915,0.9177931865276457,80000
44,200,197.15130479818066,0.9857565239909033,80000
45,200,194.2155047859467,0.9710775239297336,80000
46,200,195.6597213166013,0.9782986065830065,80000
47,200,200.14061681226275,1.0007030840613138,80000
48,200,180.51170353649516,0.9025585176824759,80000
49,200,194.64417684973282,0.973220884248664,80000
50,200,178.56978089278806,0.8928489044639403,80000
51,200,185.98120621177847,0.9299060310588924,80000
52,200,182.10411416726254,0.9105205708363127,80000
53,200,194.42987076701087,0.9721493538350543,80000
54,200,201.76374868289844,1.0088187434144922,80000
55,200,177.54423881184803,0.8877211940592402,80000
56,200,183.39066543475738,0.9169533271737869,80000
57,200,187.90819035383336,0.9395409517691669,80000
58,200,177.11895622010897,0.8855947811005449,80000
59,200,175.23040251132983,0.8761520125566491,80000
60,200,173.4433384299148,0.867216692149574,80000
61,200,170.26866703536982,0.8513433351768491,80000
62,200,170.38246765251503,0.8519123382625752,80000
63,200,166.37250867403412,0.8318625433701706,80000
64,200,170.08153698612782,0.8504076849306391,80000
65,200,167.23897379935667,0.8361948689967833,80000
66,200,169.26765129802465,0.8463382564901232,80000
67,200,165.1407253800943,0.8257036269004715,80000
68,200,163.9153119756097,0.8195765598780486,80000
69,200,180.35405677426522,0.9017702838713261,80000
70,200,172.4653986937681,0.8623269934688405,80000
71,200,173.46755916927287,0.8673377958463644,80000
72,200,155.7617704858538,0.7788088524292689,80000
73,200,173.61171621244208,0.8680585810622103,80000
74,200,182.83240946124093,0.9141620473062047,80000
75,200,187.59744744037596,0.9379872372018798,80000
76,200,176.2916149478323,0.8814580747391615,80000
77,200,157.35450048793075,0.7867725024396538,80000
78,200,171.72770118922256,0.8586385059461128,80000
79,200,168.42434512801933,0.8421217256400966,80000
80,200,170.48630363592815,0.8524315181796408,80000
81,200,162.85559940769977,0.8142779970384989,80000
82,200,164.1591299847695,0.8207956499238475,80000
83,200,170.6434197406909,0.8532170987034544,80000
84,200,166.7519963976918,0.833759981988459,80000
85,200,162.59323578561055,0.8129661789280527,80000
86,200,171.5072926778143,0.8575364633890714,80000
87,200,157.85945368137223,0.7892972684068611,80000
88,200,158.97355178671515,0.7948677589335758,80000
89,200,160.69833133867934,0.8034916566933967,80000
90,200,164.48105778585617,0.8224052889292808,80000
91,200,154.36870766355835,0.7718435383177917,80000
92,200,151.26868724377488,0.7563434362188743,80000
93,200,165.65597956133328,0.8282798978066664,80000
94,200,164.4942642703701,0.8224713213518505,80000
95,200,150.8793963099001,0.7543969815495005,80000
96,200,149.55003334769228,0.7477501667384614,80000
97,200,146.61358307390864,0.7330679153695432,80000
98,200,152.59880499197632,0.7629940249598817,80000
99,200,168.3202427680275,0.8416012138401375,80000
100,200,157.2281487357699,0.7861407436788496,80000
101,200,150.5654191805055,0.7528270959025275,80000
102,200,153.33152021359786,0.7666576010679893,80000
103,200,158.73018564252854,0.7936509282126427,80000
104,200,153.43132401685776,0.7671566200842888,80000
105,200,153.0801575552468,0.7654007877762341,80000
106,200,160.7756538646785,0.8038782693233926,80000
107,200,152.46609784052788,0.7623304892026393,80000
108,200,156.51100937770912,0.7825550468885456,80000
109,200,159.25743454331322,0.7962871727165661,80000
110,200,153.9531086503469,0.7697655432517345,80000
111,200,155.3484635509558,0.7767423177547791,80000
112,200,155.5281634752422,0.7776408173762109,80000
113,200,161.78960766459358,0.8089480383229679,80000
114,200,173.57509308785245,0.8678754654392623,80000
115,200,160.46484595244235,0.8023242297622117,80000
116,200,164.40725837068936,0.8220362918534468,80000
117,200,147.4627487257313,0.7373137436286565,80000
118,200,158.90747732835035,0.7945373866417518,80000
119,200,153.38024010688054,0.7669012005344027,80000
120,200,155.71833866617374,0.7785916933308686,80000
121,200,152.05958793699804,0.7602979396849903,80000
122,200,159.45311203494262,0.7972655601747131,80000
123,200,149.20334330774114,0.7460167165387057,80000
124,200,146.21427339336654,0.7310713669668327,80000
125,200,145.39856898901434,0.7269928449450717,80000
126,200,154.04870827057343,0.7702435413528671,80000
127,200,161.07127975256753,0.8053563987628377,80000
128,200,158.34709815741368,0.7917354907870684,80000
129,200,158.08581954110574,0.7904290977055287,80000
130,200,154.47281289297476,0.7723640644648738,80000
131,200,153.13060258687437,0.7656530129343718,80000
132,200,159.99333393734682,0.7999666696867341,80000
133,200,158.77641444207964,0.7938820722103982,80000
134,200,158.566365141186,0.79283182570593,80000
135,200,155.3609584697362,0.776804792348681,80000
136,200,143.583290238144,0.71791645119072,80000
137,200,157.70774183023806,0.7885387091511903,80000
138,200,160.14787821643864,0.8007393910821932,80000
139,200,160.45057548329584,0.8022528774164792,80000
140,200,157.1160250918003,0.7855801254590016,80000
141,200,148.63420550118065,0.7431710275059032,80000
142,200,154.42461363595737,0.7721230681797868,80000
143,200,146.52280282160112,0.7326140141080056,80000
144,200,140.99508589616494,0.7049754294808247,80000
145,200,154.40680124015148,0.7720340062007574,80000
146,200,153.50907300470752,0.7675453650235375,80000
147,200,159.1671418438593,0.7958357092192965,80000
148,200,148.47893219040245,0.7423946609520122,80000
149,200,166.75039976803598,0.8337519988401799,80000
150,200,153.80237615652536,0.7690118807826267,80000
